rated,turns,victory_status,Time,Increment,white_rating,black_rating,opening_name,opening_ply,winner
1,128,1,25,0,1565,1614,135,3,1
0,68,1,12,7,1710,1885,135,3,1
1,49,0,10,0,1217,1210,135,3,0
1,83,1,10,0,2124,1891,135,3,0
1,38,1,10,0,2020,1846,134,6,1
1,48,1,10,0,1775,2079,134,6,1
0,88,0,10,0,2036,1776,134,6,1
1,51,0,10,0,1993,1573,134,6,0
1,59,1,15,10,2207,2206,133,15,0
1,92,1,12,15,2017,2008,133,15,1
1,65,1,10,0,2196,1869,133,15,0
0,47,1,10,0,1769,1655,132,6,0
1,66,1,7,2,1620,1609,132,6,0
1,71,1,5,5,1917,2002,132,6,0
1,78,3,5,8,2001,1395,132,6,1
1,57,1,15,15,1572,1869,131,11,0
1,40,0,10,0,1563,1824,131,11,1
1,23,1,10,0,1927,1892,131,11,0
1,96,1,10,2,1552,1705,131,11,1
0,115,0,10,10,1412,1382,131,11,0
1,127,3,8,0,2007,1996,131,11,0
0,21,1,5,10,1938,1924,131,11,1
0,31,0,15,0,1339,1500,129,2,0
1,2,1,15,0,1538,1516,129,2,0
1,89,1,15,10,2104,1903,129,2,1
1,73,1,15,15,1564,1510,129,2,0
1,78,0,10,0,1750,1715,129,2,1
0,22,1,10,0,1463,1500,129,2,1
1,51,0,10,0,1380,1418,129,2,0
0,67,0,10,0,1689,1567,129,2,0
1,2,1,10,3,1567,1400,129,2,0
1,29,0,7,3,1403,1389,129,2,0
1,19,0,6,8,1188,1163,129,2,0
1,50,1,5,8,1279,1576,129,2,1
1,57,0,15,0,1314,1398,128,4,0
1,61,1,10,0,1729,1726,128,4,0
1,48,1,10,0,1704,1549,128,4,0
1,43,0,5,5,1411,1500,128,4,0
1,11,0,35,10,1764,1500,127,2,0
1,9,0,19,0,1500,987,127,2,0
1,127,0,10,5,1507,1473,127,2,0
0,54,1,40,60,2493,1914,126,12,1
1,47,1,10,0,1953,2149,126,12,0
1,29,1,10,0,2100,2276,126,12,0
1,47,1,10,0,1953,2149,126,12,0
0,63,0,40,0,1195,1369,125,5,0
1,176,0,30,0,1440,1693,125,5,1
1,129,1,30,0,1560,1596,125,5,1
1,31,0,15,0,1623,1827,125,5,0
1,60,0,15,10,1723,1644,125,5,1
1,31,1,15,10,1648,1728,125,5,0
1,36,1,14,0,1727,1590,125,5,1
1,102,0,10,0,1716,1661,125,5,1
1,74,1,10,0,1665,1527,125,5,1
1,55,3,10,0,1465,1270,125,5,0
1,131,3,10,0,1807,1809,125,5,0
1,88,1,10,2,1569,1747,125,5,1
1,70,1,10,2,1565,1536,125,5,1
1,47,0,10,2,1566,1520,125,5,0
1,61,1,10,2,1559,1594,125,5,0
1,70,1,10,5,1508,1796,125,5,1
1,23,1,10,5,1399,1630,125,5,1
1,44,1,10,5,1382,1778,125,5,1
1,118,3,10,5,1404,1499,125,5,1
1,49,1,10,5,1496,1507,125,5,0
1,41,0,10,5,1406,1035,125,5,0
1,77,3,10,30,1996,1959,125,5,0
0,64,0,7,2,1519,1752,125,5,1
0,28,1,6,8,1500,1500,125,5,1
1,50,1,10,0,1901,2123,124,3,1
1,48,1,10,0,1377,1550,124,3,1
1,55,1,10,0,1789,1544,124,3,0
1,61,3,10,1,1431,1750,124,3,0
1,68,1,60,0,1468,1489,123,6,1
1,58,1,40,0,1611,1839,123,6,1
1,31,0,15,0,1291,1295,123,6,0
1,53,1,10,2,1714,1584,123,6,0
1,92,0,7,2,1571,1536,123,6,1
1,59,0,7,2,2087,1572,123,6,0
0,94,1,18,5,1500,1500,122,6,1
1,32,1,15,10,2073,1890,122,9,1
1,42,3,15,10,1842,2073,122,6,1
1,22,1,10,0,1415,1655,122,6,1
1,62,1,10,0,1689,1981,122,6,0
1,91,1,10,0,1902,1789,122,6,0
1,49,0,10,0,2038,2141,122,6,0
1,136,1,10,0,1315,1346,121,4,1
1,72,3,10,0,1725,1786,121,4,1
0,31,1,10,0,1793,850,121,4,0
1,56,1,10,6,2180,2134,121,4,1
0,76,1,10,40,2235,2447,121,4,1
1,102,1,5,8,1462,1715,121,4,1
1,38,1,15,10,1964,1813,120,7,1
0,51,1,10,0,1917,1804,120,7,1
1,83,1,10,0,2331,2336,120,7,0
0,31,0,25,0,2135,1151,119,6,0
1,72,0,20,0,1814,2038,119,6,1
0,43,1,10,0,1337,1331,119,6,0
1,103,0,10,0,1563,1173,118,4,0
1,141,0,10,0,1167,1078,118,5,0
1,47,0,7,2,1667,1500,118,5,0
1,26,0,6,3,1515,1127,118,4,1
0,44,1,5,5,1671,1500,118,4,1
1,122,1,5,5,1375,1539,118,4,1
1,49,1,45,45,1798,1796,117,4,1
1,73,0,10,8,1780,1722,117,4,0
1,15,1,15,0,1483,1478,116,5,0
1,81,0,10,5,1085,1082,116,3,0
1,130,1,10,9,1113,1145,116,3,1
0,104,0,5,8,1500,1581,116,3,1
1,30,1,1,30,1333,1423,116,3,1
1,65,1,13,40,2143,2003,115,17,0
1,38,1,10,0,2032,2129,115,9,1
1,67,1,10,0,2095,1831,115,9,0
1,117,1,10,0,1817,1856,115,9,0
1,69,1,10,0,2376,2166,115,9,0
1,91,0,10,5,2104,2215,115,17,0
1,72,1,8,8,2052,2287,115,13,1
1,50,1,5,5,2420,2404,115,9,1
1,3,1,11,2,1500,1202,114,1,0
0,94,0,10,5,1766,1466,114,1,1
1,30,0,10,10,1442,1310,114,1,1
0,44,1,0,15,1169,1571,114,1,1
0,26,1,45,0,2030,1225,113,2,1
0,41,0,15,7,1500,1005,113,2,0
1,8,1,10,0,1278,1500,113,2,1
1,68,1,10,0,1433,1457,113,2,1
1,8,1,10,0,1278,1500,113,2,1
0,29,0,10,0,1424,1061,113,4,0
1,41,0,10,0,1872,1733,113,4,0
1,77,0,10,3,1194,1519,113,2,0
0,69,0,9,0,1047,1202,113,2,0
1,3,3,8,10,1845,1441,113,2,0
1,58,0,7,7,1471,1488,113,2,1
1,2,1,5,8,850,1371,113,2,1
0,65,0,1,45,1392,1168,113,2,0
0,61,0,30,0,1571,1301,112,4,0
1,39,1,30,0,1521,1150,112,4,0
1,151,1,15,0,1794,1648,112,4,0
1,51,0,10,0,1718,1345,112,4,0
1,93,1,5,5,1465,1416,112,4,0
0,40,1,20,20,1445,1649,111,5,1
1,62,1,15,0,1859,1728,111,8,1
1,76,0,10,0,1270,1544,111,5,1
1,76,0,10,0,1270,1544,111,5,1
1,53,1,10,10,1759,1265,111,8,0
1,71,0,45,45,1728,1668,110,6,0
1,43,1,25,0,2364,1703,110,7,0
1,26,1,13,5,1464,1555,110,11,1
1,27,0,10,0,2084,1517,110,9,0
0,85,1,10,0,2156,1640,110,9,0
1,41,1,6,5,1847,1921,110,6,0
1,27,1,30,0,1047,1492,109,2,1
0,35,0,20,0,1542,1500,109,2,0
1,56,1,20,15,1137,1190,109,2,0
0,41,0,8,6,1750,1500,109,2,0
1,5,3,6,7,1853,1500,109,2,0
1,2,1,5,8,1332,1001,109,2,0
1,61,0,15,0,1424,1396,108,4,0
1,61,3,15,0,1187,1231,108,4,0
1,171,0,15,3,1189,1373,108,4,0
1,55,0,15,15,1290,1186,108,4,0
1,89,1,10,0,1604,1306,108,4,1
1,41,1,10,0,1790,1265,108,4,0
